,ID,SITECODE,REGION,MIN_LOAD,MAX_LOAD,TOTAL_LOAD
162,163,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.013,9.256,18617.928
165,166,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,1.461,2224.5764
170,171,Residential - High-Rise Apt Suites (Elec Heat),VI,0.0,4.815,8871.793
171,172,Residential - Single/Duplex (Elec Heat),LM,0.0,10.075,34753.973
172,173,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.112,5.61,11480.225
173,174,Residential - High-Rise Apt Suites (Elec Heat),SI,0.0,10.518,26502.006
175,176,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,8.469,12239.617
176,177,Residential - Single/Duplex (Elec Heat),LM,0.0,11.185,37270.453
178,179,Residential - Low-Rise Apt Suites (Elec Heat),VI,0.065,4.041,13912.399
184,185,Residential - Single/Duplex (Elec Heat),VI,0.0,9.165,25557.637
188,189,Residential - Low-Rise Apt Suites (Elec Heat),VI,0.054,5.515,16845.824
191,192,Residential - Row Houses Units (Elec Heat),VI,0.202,11.797,53392.676
194,195,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,6.043,17817.93
198,199,Residential - Row Houses Units (Elec Heat),LM,0.0,5.073,12536.831
206,207,Residential - Single/Duplex (Elec Heat),LM,0.0,9.625,24310.672
207,208,Residential - Single/Duplex (Elec Heat),LM,0.0,10.874,29671.32
208,209,Residential - Single/Duplex (Elec Heat),VI,0.0,9.984,25441.455
211,212,Residential - Low-Rise Apt Suites (Elec Heat),VI,0.0,7.34,14628.881
212,213,Residential - Low-Rise Apt Suites (Elec Heat),SI,0.0,6.453,16111.447
214,215,Residential - Single/Duplex (Elec Heat),VI,0.0,9.753,28586.57
217,218,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,3.787,8235.769
218,219,Residential - Single/Duplex (Elec Heat),VI,0.0,7.541,29375.418
219,220,Residential - Mobile (Elec Heat),N,0.219,5.608,17402.984
220,221,Residential - Single/Duplex (Elec Heat),LM,0.0,9.051,14859.339
221,222,Residential - Row Houses Units (Elec Heat),VI,0.0,10.328,29245.596
224,225,Residential - Single/Duplex (Elec Heat),SI,0.181,7.552,21122.598
226,227,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,3.959,5564.16
230,231,Residential - Single/Duplex (Elec Heat),VI,0.326,12.942,42859.297
231,232,Residential - Row Houses Units (Elec Heat),N,0.0,4.843,4009.5972
232,233,Residential - Single/Duplex (Elec Heat),LM,0.0,2.537,3646.475
235,236,Residential - Single/Duplex (Elec Heat),LM,0.071,11.786,24786.045
240,241,Residential - Single/Duplex (Elec Heat),VI,0.0,9.785,18913.346
241,242,Residential - Row Houses Units (Elec Heat),LM,0.0,11.572,40865.047
243,244,Residential - Single/Duplex (Elec Heat),VI,0.0,7.55,48213.902
244,245,Residential - Row Houses Units (Elec Heat),LM,0.0,12.115,39952.99
245,246,Residential - Single/Duplex (Elec Heat),LM,0.0,13.114,12878.388
249,250,Residential - Row Houses Units (Elec Heat),LM,0.0,6.466,3767.7969
256,257,Residential - Single/Duplex (Elec Heat),VI,0.0,13.866,52370.902
258,259,Residential - Single/Duplex (Elec Heat),VI,0.0,10.96,31400.525
259,260,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,7.229,16987.744
261,262,Residential - Single/Duplex (Elec Heat),VI,0.0,11.273,28126.28
263,264,Residential - Single/Duplex (Elec Heat),LM,0.182,9.702,32939.176
268,269,Residential - Mobile (Elec Heat),N,0.0,11.941,38467.37
271,272,Residential - Single/Duplex (Elec Heat),VI,0.072,13.374,37814.75
274,275,Residential - Single/Duplex (Elec Heat),VI,0.0,11.606,27433.19
275,276,Residential - Single/Duplex (Elec Heat),VI,0.0,9.398,24146.912
277,278,Residential - Row Houses Units (Elec Heat),LM,0.177,8.632,27805.395
285,286,Residential - Single/Duplex (Elec Heat),VI,0.0,8.449,25973.598
289,290,Residential - Single/Duplex (Elec Heat),LM,0.0,9.208,49509.914
294,295,Residential - Low-Rise Apt Suites (Elec Heat),VI,0.0,0.001,0.015
297,298,Residential - Mobile (Elec Heat),N,0.13,6.71,17810.268
299,300,Residential - Single/Duplex (Elec Heat),VI,0.014,8.298,11398.771
307,308,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,9.199,17939.904
309,310,Residential - Single/Duplex (Elec Heat),VI,0.193,10.447,30415.494
310,311,Residential - Single/Duplex (Elec Heat),VI,0.0,11.035,45915.812
314,315,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,9.272,14253.226
321,322,Residential - High-Rise Apt Suites (Elec Heat),VI,0.0,6.216,10922.3545
324,325,Residential - Row Houses Units (Elec Heat),LM,0.106,9.125,34774.6
325,326,Residential - Single/Duplex (Elec Heat),VI,0.0,6.968,19974.828
331,332,Residential - Single/Duplex (Elec Heat),VI,0.0,7.12,22439.066
332,333,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,4.506,8455.23
341,342,Residential - Single/Duplex (Elec Heat),LM,0.0,8.051,13752.997
344,345,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.056,4.207,8045.318
348,349,Residential - Low-Rise Apt Suites (Elec Heat),VI,0.0,4.082,14765.067
350,351,Residential - Single/Duplex (Elec Heat),LM,0.0,10.041,45814.684
352,353,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,4.876,12719.808
353,354,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,4.764,6882.442
354,355,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,9.401,18051.549
356,357,Residential - Single/Duplex (Elec Heat),VI,0.0,12.976,40233.367
359,360,Residential - Single/Duplex (Elec Heat),VI,0.066,14.204,53555.918
362,363,Residential - Row Houses Units (Elec Heat),N,0.081,10.714,40184.465
367,368,Residential - Single/Duplex (Elec Heat),N,0.0,7.039,28582.668
368,369,Residential - Single/Duplex (Elec Heat),VI,0.0,6.877,21845.105
371,372,Residential - Row Houses Units (Elec Heat),SI,0.178,8.89,31522.012
375,376,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.032,6.189,14243.461
377,378,Residential - Mobile (Elec Heat),VI,0.0,12.586,36120.266
378,379,Residential - High-Rise Apt Suites (Elec Heat),LM,0.04,3.742,5031.198
381,382,Residential - Single/Duplex (Elec Heat),LM,0.0,13.102,40402.375
383,384,Residential - Single/Duplex (Elec Heat),LM,0.0,10.439,36212.582
385,386,Residential - High-Rise Apt Suites (Elec Heat),LM,0.018,3.642,4403.086
392,393,Residential - Low-Rise Apt Suites (Elec Heat),SI,0.0,6.522,10072.592
393,394,Residential - Low-Rise Apt Suites (Elec Heat),VI,0.04,7.233,15774.615
394,395,Residential - Single/Duplex (Elec Heat),LM,0.0,9.783,35135.223
396,397,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.061,9.507,17546.88
399,400,Residential - Single/Duplex (Elec Heat),VI,0.0,11.672,46674.4
400,401,Residential - High-Rise Apt Suites (Elec Heat),SI,0.0,5.619,8403.467
402,403,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,6.165,7315.4946
404,405,Residential - Single/Duplex (Elec Heat),LM,0.065,12.956,35157.95
406,407,Residential - Single/Duplex (Elec Heat),VI,0.0,10.718,20591.176
409,410,Residential - Row Houses Units (Elec Heat),LM,0.051,7.687,19018.607
412,413,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.084,2.867,6134.7725
414,415,Residential - Single/Duplex (Elec Heat),LM,0.0,9.678,38740.258
417,418,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,6.972,14282.273
419,420,Residential - Mobile (Elec Heat),VI,0.069,8.256,15444.052
426,427,Residential - Single/Duplex (Elec Heat),SI,0.0,7.113,19059.209
430,431,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,4.391,5965.423
433,434,Residential - Single/Duplex (Elec Heat),N,0.004,11.415,34793.168
435,436,Residential - Single/Duplex (Elec Heat),N,0.0,11.526,45248.35
441,442,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.041,10.814,21981.45
443,444,Residential - Single/Duplex (Elec Heat),LM,0.218,12.055,41478.17
456,457,Residential - Row Houses Units (Elec Heat),LM,0.168,8.384,23542.182
459,460,Residential - Low-Rise Apt Suites (Elec Heat),VI,0.02,4.288,2447.572
461,462,Residential - Single/Duplex (Elec Heat),LM,0.0,12.459,53433.656
464,465,Residential - Row Houses Units (Elec Heat),LM,0.0,8.655,22433.834
466,467,Residential - Single/Duplex (Elec Heat),VI,0.072,11.278,36443.75
470,471,Residential - Single/Duplex (Elec Heat),LM,0.0,8.809,22788.883
472,473,Residential - Row Houses Units (Elec Heat),LM,0.134,6.94,18440.652
474,475,Residential - Single/Duplex (Elec Heat),VI,0.0,9.488,32190.678
477,478,Residential - Single/Duplex (Elec Heat),VI,0.249,9.488,23905.088
478,479,Residential - Mobile (Elec Heat),N,0.0,14.14,30536.19
480,481,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,8.641,24758.613
481,482,Residential - Single/Duplex (Elec Heat),VI,0.0,13.951,35369.996
485,486,Residential - Single/Duplex (Elec Heat),LM,0.005,0.286,248.95149
489,490,Residential - Single/Duplex (Elec Heat),LM,0.0,5.732,22610.271
490,491,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,5.681,21047.846
496,497,Residential - High-Rise Apt Suites (Elec Heat),VI,0.001,3.512,4417.102
498,499,Residential - Mobile (Elec Heat),LM,0.527,7.516,50153.82
499,500,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,1.684,1953.9529
501,502,Residential - Row Houses Units (Elec Heat),VI,0.0,11.222,7165.4463
508,509,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.073,4.922,17026.217
509,510,Residential - High-Rise Apt Suites (Elec Heat),N,0.053,1.532,4229.456
510,511,Residential - Low-Rise Apt Suites (Elec Heat),SI,0.0,6.413,29841.582
515,516,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,5.509,10795.191
521,522,Residential - Row Houses Units (Elec Heat),LM,0.0,10.756,43574.113
524,525,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.078,5.724,16718.535
525,526,Residential - Single/Duplex (Elec Heat),VI,0.0,9.67,36209.1
527,528,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,5.128,5574.113
532,533,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,9.532,10704.865
534,535,Residential - Single/Duplex (Elec Heat),VI,0.0,8.079,25335.748
537,538,Residential - High-Rise Apt Suites (Elec Heat),N,0.0,5.996,9319.724
546,547,Residential - High-Rise Apt Suites (Elec Heat),LM,0.025,7.358,16724.104
548,549,Residential - High-Rise Apt Suites (Elec Heat),LM,0.038,5.056,6698.181
550,551,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.038,4.756,6897.6777
552,553,Residential - High-Rise Apt Suites (Elec Heat),LM,0.062,12.835,27854.72
554,555,Residential - Single/Duplex (Elec Heat),LM,0.0,10.068,35149.434
558,559,Residential - Single/Duplex (Elec Heat),SI,0.0,8.105,24162.938
561,562,Residential - Low-Rise Apt Suites (Elec Heat),SI,0.0,4.312,6981.7827
564,565,Residential - High-Rise Apt Suites (Elec Heat),SI,0.0,9.802,18865.996
571,572,Residential - Single/Duplex (Elec Heat),VI,0.0,7.691,20687.543
572,573,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,1.52,3420.104
573,574,Residential - Single/Duplex (Elec Heat),VI,0.179,14.997,48113.34
575,576,Residential - Single/Duplex (Elec Heat),LM,0.382,7.05,28695.457
576,577,Residential - Mobile (Elec Heat),VI,0.072,4.68,11306.146
577,578,Residential - Single/Duplex (Elec Heat),VI,0.0,8.481,25024.09
579,580,Residential - Low-Rise Apt Suites (Elec Heat),VI,0.0,4.435,11055.92
580,581,Residential - Single/Duplex (Elec Heat),LM,0.0,14.212,47381.85
585,586,Residential - Low-Rise Apt Suites (Elec Heat),VI,0.0,6.76,10700.316
588,589,Residential - Row Houses Units (Elec Heat),LM,0.0,7.886,21696.469
589,590,Residential - Single/Duplex (Elec Heat),LM,0.0,12.627,41015.074
591,592,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,3.505,4906.9355
592,593,Residential - Row Houses Units (Elec Heat),LM,0.161,8.157,19377.428
594,595,Residential - Low-Rise Apt Suites (Elec Heat),VI,0.0,6.365,14699.985
596,597,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,9.233,15111.722
597,598,Residential - Row Houses Units (Elec Heat),LM,0.237,10.739,32790.273
598,599,Residential - Row Houses Units (Elec Heat),VI,0.0,10.89,35873.535
600,601,Residential - High-Rise Apt Suites (Elec Heat),LM,0.044,3.38,4445.9985
601,602,Residential - Single/Duplex (Elec Heat),VI,0.155,11.172,31200.594
606,607,Residential - High-Rise Apt Suites (Elec Heat),LM,0.046,6.353,11758.691
609,610,Residential - Single/Duplex (Elec Heat),SI,0.0,7.643,10802.791
614,615,Residential - High-Rise Apt Suites (Elec Heat),N,0.044,4.811,14962.555
616,617,Residential - Single/Duplex (Elec Heat),VI,0.0,13.013,29955.105
617,618,Residential - Mobile (Elec Heat),SI,0.128,10.533,45759.867
621,622,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.016,2.907,5338.8164
623,624,Residential - Single/Duplex (Elec Heat),SI,0.0,8.918,13183.578
625,626,Residential - Row Houses Units (Elec Heat),VI,0.106,8.925,24675.934
626,627,Residential - Row Houses Units (Elec Heat),SI,0.086,5.997,12317.383
633,634,Residential - Single/Duplex (Elec Heat),LM,0.0,9.416,37218.49
634,635,Residential - Single/Duplex (Elec Heat),VI,0.0,10.438,28623.805
637,638,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,6.334,12423.066
640,641,Residential - Single/Duplex (Elec Heat),LM,0.059,6.251,26071.242
641,642,Residential - Single/Duplex (Elec Heat),VI,0.127,14.563,29953.5
642,643,Residential - Single/Duplex (Elec Heat),VI,0.0,10.477,39376.4
647,648,Residential - Single/Duplex (Elec Heat),VI,0.0,10.898,32605.826
651,652,Residential - Single/Duplex (Elec Heat),VI,0.573,9.615,34751.477
652,653,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,9.939,41042.875
655,656,Residential - High-Rise Apt Suites (Elec Heat),LM,0.072,7.816,21373.377
657,658,Residential - Single/Duplex (Elec Heat),LM,0.0,11.492,55125.445
658,659,Residential - Single/Duplex (Elec Heat),VI,0.0,9.82,34899.562
659,660,Residential - Single/Duplex (Elec Heat),LM,0.0,14.033,66561.18
660,661,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,6.615,16795.46
663,664,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.046,8.41,19145.883
669,670,Residential - Row Houses Units (Elec Heat),LM,0.0,8.632,16425.213
671,672,Residential - High-Rise Apt Suites (Elec Heat),LM,0.01,6.863,21750.723
673,674,Residential - Single/Duplex (Elec Heat),LM,0.0,12.824,54993.6
676,677,Residential - Single/Duplex (Elec Heat),LM,0.0,9.679,30069.982
677,678,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,4.352,9268.457
678,679,Residential - High-Rise Apt Suites (Elec Heat),LM,0.092,4.42,4775.143
679,680,Residential - Single/Duplex (Elec Heat),LM,0.258,6.472,25727.691
680,681,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.072,6.12,8984.347
682,683,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,5.003,19839.553
685,686,Residential - Single/Duplex (Elec Heat),LM,0.0,7.189,14076.48
697,698,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.056,2.508,6118.91
703,704,Residential - High-Rise Apt Suites (Elec Heat),LM,0.081,7.755,16802.578
704,705,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,2.6,10308.522
709,710,Residential - Single/Duplex (Elec Heat),SI,0.0,10.41,7288.566
710,711,Residential - Row Houses Units (Elec Heat),SI,0.0,4.989,17339.203
711,712,Residential - Single/Duplex (Elec Heat),VI,0.149,8.501,25819.188
715,716,Residential - Low-Rise Apt Suites (Elec Heat),VI,0.065,5.224,15107.912
717,718,Residential - Low-Rise Apt Suites (Elec Heat),SI,0.041,6.486,8467.861
721,722,Residential - Row Houses Units (Elec Heat),LM,0.0,6.974,16779.648
722,723,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.085,3.976,8076.4077
723,724,Residential - Row Houses Units (Elec Heat),LM,0.0,6.777,15540.045
726,727,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,3.875,4734.4233
735,736,Residential - High-Rise Apt Suites (Elec Heat),SI,0.0,12.584,16468.828
737,738,Residential - High-Rise Apt Suites (Elec Heat),N,0.032,6.47,5179.0244
738,739,Residential - Row Houses Units (Elec Heat),LM,0.345,9.197,34683.273
746,747,Residential - High-Rise Apt Suites (Elec Heat),VI,0.088,5.54,12608.962
747,748,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,1.6,12298.405
748,749,Residential - Single/Duplex (Elec Heat),LM,0.0,10.236,42581.22
749,750,Residential - Low-Rise Apt Suites (Elec Heat),VI,0.007,2.124,2390.713
752,753,Residential - Single/Duplex (Elec Heat),VI,0.0,8.072,15896.198
753,754,Residential - Single/Duplex (Elec Heat),VI,0.224,9.099,24553.62
755,756,Residential - Single/Duplex (Elec Heat),LM,0.0,6.284,23083.56
756,757,Residential - Row Houses Units (Elec Heat),LM,0.0,5.981,10313.108
759,760,Residential - High-Rise Apt Suites (Elec Heat),LM,0.056,5.83,12809.516
762,763,Residential - Mobile (Elec Heat),N,0.0,12.126,54753.438
765,766,Residential - Mobile (Elec Heat),N,0.0,6.441,16038.515
769,770,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,9.648,19713.3
770,771,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,13.255,17336.266
779,780,Residential - Low-Rise Apt Suites (Elec Heat),VI,0.0,5.51,10634.8955
780,781,Residential - Single/Duplex (Elec Heat),N,0.0,11.643,48250.242
782,783,Residential - Low-Rise Apt Suites (Elec Heat),SI,0.0,2.972,8593.014
783,784,Residential - Single/Duplex (Elec Heat),LM,0.222,6.321,22509.951
789,790,Residential - Row Houses Units (Elec Heat),LM,0.0,9.234,23791.332
790,791,Residential - Low-Rise Apt Suites (Elec Heat),N,0.0,6.041,10651.083
791,792,Residential - Row Houses Units (Elec Heat),VI,0.0,9.072,24462.102
795,796,Residential - Row Houses Units (Elec Heat),LM,0.0,12.326,36630.5
796,797,Residential - Single/Duplex (Elec Heat),LM,0.182,10.613,37442.926
799,800,Residential - Single/Duplex (Elec Heat),VI,0.0,8.787,19408.967
800,801,Residential - Single/Duplex (Elec Heat),VI,0.0,12.962,36303.344
802,803,Residential - High-Rise Apt Suites (Elec Heat),SI,0.0,8.031,8396.895
805,806,Residential - Single/Duplex (Elec Heat),LM,0.0,10.273,26719.016
806,807,Residential - Single/Duplex (Elec Heat),LM,0.059,12.419,36824.668
810,811,Residential - Mobile (Elec Heat),LM,0.0,7.579,27045.203
811,812,Residential - Low-Rise Apt Suites (Elec Heat),N,0.0,6.95,18930.473
815,816,Residential - Single/Duplex (Elec Heat),VI,0.202,8.095,26570.807
816,817,Residential - Single/Duplex (Elec Heat),VI,0.0,11.462,43430.367
817,818,Residential - Single/Duplex (Elec Heat),VI,0.092,6.705,22336.406
818,819,Residential - Single/Duplex (Elec Heat),VI,0.0,14.15,50334.2
819,820,Residential - Single/Duplex (Elec Heat),LM,0.0,11.535,46452.918
821,822,Residential - Single/Duplex (Elec Heat),LM,0.0,10.37,24164.225
822,823,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,1.79,6196.3906
828,829,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.25,6.676,34265.938
836,837,Residential - High-Rise Apt Suites (Elec Heat),VI,0.0,4.355,5162.283
837,838,Residential - Mobile (Elec Heat),SI,0.0,4.817,9512.148
838,839,Residential - High-Rise Apt Suites (Elec Heat),LM,0.115,4.944,12976.484
840,841,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,5.959,11025.226
841,842,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,6.225,14036.213
842,843,Residential - Row Houses Units (Elec Heat),LM,0.135,4.386,14621.412
843,844,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,4.043,7881.523
846,847,Residential - Single/Duplex (Elec Heat),VI,0.0,12.935,33579.008
848,849,Residential - Low-Rise Apt Suites (Elec Heat),VI,0.0,1.8,3070.8013
850,851,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,5.339,3775.309
853,854,Residential - Single/Duplex (Elec Heat),LM,0.0,7.507,33971.9
855,856,Residential - Single/Duplex (Elec Heat),LM,0.0,8.059,29995.082
860,861,Residential - Single/Duplex (Elec Heat),LM,0.0,11.259,48405.52
863,864,Residential - Single/Duplex (Elec Heat),SI,0.0,14.327,42000.25
864,865,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,6.936,8647.262
870,871,Residential - Single/Duplex (Elec Heat),VI,0.0,8.249,36100.508
871,872,Residential - High-Rise Apt Suites (Elec Heat),SI,0.0,2.919,3967.8765
876,877,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.034,6.682,18784.982
877,878,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,5.825,9290.016
878,879,Residential - Single/Duplex (Elec Heat),VI,0.0,14.219,42302.914
880,881,Residential - Single/Duplex (Elec Heat),VI,0.0,8.145,27523.441
882,883,Residential - High-Rise Apt Suites (Elec Heat),LM,0.018,2.201,2720.765
883,884,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.059,6.122,7582.2817
891,892,Residential - High-Rise Apt Suites (Elec Heat),LM,0.108,5.821,18942.096
892,893,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.026,3.124,3871.825
896,897,Residential - Row Houses Units (Elec Heat),LM,0.019,6.597,17131.398
900,901,Residential - Row Houses Units (Elec Heat),VI,0.0,8.85,26570.03
901,902,Residential - Single/Duplex (Elec Heat),VI,0.0,9.002,16885.133
902,903,Residential - Row Houses Units (Elec Heat),LM,0.027,10.378,32737.191
903,904,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,4.633,12839.513
910,911,Residential - Row Houses Units (Elec Heat),LM,0.0,8.646,32178.225
912,913,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.064,6.026,16484.6
916,917,Residential - Row Houses Units (Elec Heat),LM,0.0,6.902,24513.191
917,918,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.0,6.664,12036.971
918,919,Residential - Single/Duplex (Elec Heat),VI,0.218,9.531,27253.266
922,923,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.049,6.031,13326.602
927,928,Residential - High-Rise Apt Suites (Elec Heat),LM,0.0,0.189,2225.5347
938,939,Residential - Low-Rise Apt Suites (Elec Heat),N,0.0,2.244,4787.5938
944,945,Residential - Low-Rise Apt Suites (Elec Heat),LM,0.101,6.439,12579.195
951,952,Residential - Row Houses Units (Elec Heat),LM,0.0,7.172,22184.096
